,Name,Record,Wins,Losses,Draws,Height_cm,Weight_lbs,Reach_inch,Stance,Debut,SLpM,StrAcc,SApM,StrDef,TD_Avg,TD_Acc,TD_Def,Sub_Avg
1702,Mike Whitehead,Record: 27-8-0,27.0,8.0,0.0,185.42225473461758,205.0,,Orthodox,1981.0,1.62,0.33,2.36,0.59,3.59,0.43,0.77,0.3
1703,Leandro Issa,Record: 13-6-0,13.0,6.0,0.0,170.1820694139641,135.0,69.0,Orthodox,1983.0,2.08,0.37,3.17,0.58,2.38,0.22,0.5,1.2
1704,Alejandro Flores,Record: 17-3-0,17.0,3.0,0.0,177.80216207429083,145.0,73.0,Orthodox,1991.0,3.66,0.4,2.02,0.54,0.0,0.0,0.0,0.0
1705,Cynthia Calvillo,Record: 9-2-1,9.0,2.0,1.0,162.56197675363734,125.0,64.0,Orthodox,1987.0,4.18,0.41,3.52,0.67,1.85,0.44,0.71,1.1
1706,Michael Page,Record: 12-0-0,12.0,0.0,0.0,187.96228562139316,170.0,,,1987.0,4.53,0.76,0.45,0.77,3.4,1.0,1.0,0.0
1707,Maria Rios,Record: 2-3-0,2.0,3.0,0.0,165.10200764041292,125.0,,,1983.0,2.93,0.34,4.13,0.56,2.0,0.5,1.0,0.0
1708,Tyron Woodley,Record: 19-7-1,19.0,7.0,1.0,175.26213118751525,170.0,74.0,Orthodox,1982.0,2.36,0.48,2.76,0.54,1.06,0.4,0.87,0.4
1709,Travis Johnson,Record: 0-1-0,0.0,1.0,0.0,,205.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1710,Kyler Phillips,Record: 9-1-0,9.0,1.0,0.0,172.72210030073967,135.0,72.0,Orthodox,1995.0,5.32,0.46,3.04,0.61,2.88,0.63,0.71,0.4
1711,Nick Penner,Record: 11-3-0,11.0,3.0,0.0,193.04234739494433,205.0,,Southpaw,1980.0,1.25,0.3,4.6,0.38,0.0,0.0,0.4,0.0
1712,Andre Fili,Record: 21-8-0,21.0,8.0,0.0,180.34219296106642,145.0,74.0,Orthodox,1990.0,3.73,0.36,3.9,0.52,2.5,0.49,0.64,0.2
1713,Aaron Trujillo,Record: 0-1-0,0.0,1.0,0.0,165.10200764041292,125.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1714,Yves Jabouin,Record: 20-11-0,20.0,11.0,0.0,170.1820694139641,135.0,68.0,Orthodox,1979.0,3.06,0.41,2.93,0.62,1.94,0.6,0.82,0.1
1715,Joseph Gigliotti,Record: 7-2-0,7.0,2.0,0.0,180.34219296106642,185.0,,Orthodox,1993.0,1.04,0.39,2.92,0.45,1.56,1.0,0.5,0.8
1716,Jessica Penne,Record: 12-6-0,12.0,6.0,0.0,165.10200764041292,115.0,67.0,Orthodox,1983.0,2.46,0.33,4.73,0.48,1.58,0.25,0.2,0.6
1717,David Heath,Record: 18-7-0,18.0,7.0,0.0,180.34219296106642,205.0,72.0,Orthodox,1976.0,1.48,0.3,5.16,0.49,0.33,0.5,0.57,1.0
1718,Junyong Park,Record: 12-4-0,12.0,4.0,0.0,177.80216207429083,185.0,73.0,Orthodox,1991.0,4.24,0.47,2.9,0.59,3.4,0.64,0.45,0.0
1719,Justin James,Record: 13-7-0,13.0,7.0,0.0,177.80216207429083,155.0,,Orthodox,1976.0,1.34,0.36,2.68,0.5,0.0,0.0,0.5,1.6
1720,Isaiah Hill,Record: 5-7-1 (1 NC),5.0,7.0,1.0,177.80216207429083,155.0,,,,4.84,0.5,0.97,0.8,0.0,0.0,0.66,14.5
1721,Jon Tuck,Record: 10-5-0,10.0,5.0,0.0,180.34219296106642,155.0,73.0,Orthodox,1984.0,3.0,0.4,3.74,0.6,0.42,0.33,0.5,1.0
